algo,priority,makespan,duration_sec
parallel,shortest,24,7.843971252441406e-05
parallel,longest,21,5.698204040527344e-05
parallel,most_successors,20,8.130073547363281e-05
parallel,important,23,4.887580871582031e-05
series,shortest,37,4.315376281738281e-05
series,longest,37,4.029273986816406e-05
series,most_successors,37,8.368492126464844e-05
series,important,37,3.6716461181640625e-05
